¿¬¿ù,customer_id,count_pred,count_0,count_1,count_2,count_3,count_4,count_5,start_date,now_date,period
2018-10-01,AS185951,1,5.0,3.0,3.0,7.0,3.0,10.0,2018-04-09,2018-10-01,5
2018-10-01,AS197200,12,6.0,8.0,9.0,6.0,8.0,8.0,2018-04-15,2018-10-01,5
2018-10-01,AS200286,3,6.0,3.0,6.0,6.0,7.0,10.0,2018-04-06,2018-10-01,5
2018-10-01,AS251169,2,4.0,6.0,5.0,8.0,10.0,7.0,2018-04-03,2018-10-01,5
2018-10-01,AS345469,1,3.0,5.0,6.0,5.0,4.0,7.0,2018-04-12,2018-10-01,5
2018-10-01,AS501123,3,4.0,5.0,5.0,8.0,7.0,7.0,2018-04-01,2018-10-01,6
2018-10-01,AS509237,3,2.0,1.0,2.0,4.0,8.0,9.0,2018-04-06,2018-10-01,5
2018-10-01,AS546422,1,5.0,7.0,4.0,10.0,8.0,8.0,2018-04-10,2018-10-01,5
2018-10-01,AS628722,3,5.0,4.0,6.0,4.0,7.0,9.0,2018-04-15,2018-10-01,5
2018-10-01,AS639549,4,2.0,2.0,3.0,5.0,9.0,8.0,2018-04-15,2018-10-01,5
2018-10-01,AS645809,2,3.0,4.0,3.0,3.0,5.0,8.0,2018-04-06,2018-10-01,5
2018-10-01,AS721170,1,1.0,2.0,5.0,6.0,6.0,7.0,2018-04-12,2018-10-01,5
2018-10-01,AS823436,6,3.0,1.0,6.0,7.0,5.0,10.0,2018-04-01,2018-10-01,6
2018-10-01,AS886872,11,8.0,7.0,7.0,8.0,7.0,8.0,2018-04-12,2018-10-01,5
2018-10-01,GD098851,7,5.0,6.0,9.0,6.0,7.0,10.0,2018-04-12,2018-10-01,5
2018-10-01,GD115456,2,2.0,4.0,4.0,2.0,6.0,7.0,2018-04-05,2018-10-01,5
2018-10-01,GD165203,2,5.0,1.0,3.0,6.0,7.0,8.0,2018-04-14,2018-10-01,5
2018-10-01,GD174951,3,4.0,4.0,4.0,6.0,9.0,5.0,2018-04-14,2018-10-01,5
2018-10-01,GD210507,3,5.0,6.0,7.0,6.0,6.0,8.0,2018-04-11,2018-10-01,5
2018-10-01,GD325851,8,8.0,6.0,5.0,8.0,9.0,10.0,2018-04-13,2018-10-01,5
2018-10-01,GD475433,3,3.0,5.0,2.0,3.0,9.0,9.0,2018-04-12,2018-10-01,5
2018-10-01,GD563242,4,7.0,11.0,9.0,8.0,10.0,13.0,2018-04-05,2018-10-01,5
2018-10-01,GD646501,2,4.0,4.0,5.0,6.0,5.0,10.0,2018-04-12,2018-10-01,5
2018-10-01,GD716223,8,9.0,7.0,6.0,9.0,7.0,11.0,2018-04-15,2018-10-01,5
2018-10-01,GD768522,2,2.0,4.0,6.0,5.0,5.0,6.0,2018-04-08,2018-10-01,5
2018-10-01,GD921810,1,4.0,3.0,6.0,6.0,6.0,7.0,2018-04-11,2018-10-01,5
2018-10-01,HD032015,4,4.0,5.0,6.0,8.0,10.0,7.0,2018-04-14,2018-10-01,5
2018-10-01,HD069655,3,5.0,3.0,7.0,4.0,5.0,9.0,2018-04-15,2018-10-01,5
2018-10-01,HD104614,3,4.0,5.0,3.0,6.0,8.0,8.0,2018-04-15,2018-10-01,5
2018-10-01,HD146199,9,7.0,7.0,8.0,9.0,9.0,10.0,2018-04-09,2018-10-01,5
2018-10-01,HD218970,3,4.0,4.0,4.0,5.0,7.0,8.0,2018-04-02,2018-10-01,5
2018-10-01,HD293656,3,4.0,2.0,5.0,4.0,9.0,8.0,2018-04-12,2018-10-01,5
2018-10-01,HD295608,3,1.0,4.0,3.0,4.0,8.0,6.0,2018-04-11,2018-10-01,5
2018-10-01,HD351145,4,3.0,2.0,4.0,5.0,6.0,7.0,2018-04-04,2018-10-01,5
2018-10-01,HD402002,6,7.0,10.0,12.0,9.0,6.0,9.0,2018-04-13,2018-10-01,5
2018-10-01,HD426886,7,9.0,11.0,8.0,8.0,8.0,10.0,2018-04-05,2018-10-01,5
2018-10-01,HD523855,4,6.0,5.0,7.0,8.0,7.0,9.0,2018-04-04,2018-10-01,5
2018-10-01,HD571515,2,5.0,5.0,7.0,8.0,9.0,6.0,2018-04-15,2018-10-01,5
2018-10-01,HD580454,7,5.0,11.0,10.0,9.0,7.0,10.0,2018-04-05,2018-10-01,5
2018-10-01,HD634523,1,1.0,5.0,6.0,7.0,6.0,7.0,2018-04-13,2018-10-01,5
2018-10-01,HD677310,4,4.0,4.0,3.0,6.0,4.0,10.0,2018-04-09,2018-10-01,5
2018-10-01,HD717249,1,1.0,3.0,5.0,6.0,7.0,10.0,2018-04-14,2018-10-01,5
2018-10-01,HD814444,9,6.0,6.0,10.0,6.0,8.0,12.0,2018-04-04,2018-10-01,5
2018-10-01,HD874104,3,3.0,3.0,4.0,4.0,7.0,5.0,2018-04-14,2018-10-01,5
2018-10-01,HD981197,4,3.0,3.0,6.0,7.0,7.0,7.0,2018-04-15,2018-10-01,5
2018-10-01,HI049184,1,2.0,2.0,3.0,8.0,5.0,8.0,2018-04-15,2018-10-01,5
2018-10-01,HI140097,5,4.0,5.0,6.0,8.0,7.0,10.0,2018-04-07,2018-10-01,5
2018-10-01,HI302801,2,1.0,4.0,3.0,8.0,9.0,7.0,2018-04-05,2018-10-01,5
2018-10-01,HI331377,9,7.0,8.0,8.0,7.0,7.0,10.0,2018-04-11,2018-10-01,5
2018-10-01,HI367242,6,8.0,7.0,8.0,9.0,10.0,8.0,2018-04-07,2018-10-01,5
2018-10-01,HI368031,9,8.0,3.0,8.0,8.0,8.0,10.0,2018-04-03,2018-10-01,5
2018-10-01,HI402688,3,6.0,6.0,5.0,6.0,7.0,8.0,2018-04-12,2018-10-01,5
2018-10-01,HI570258,2,4.0,2.0,5.0,5.0,6.0,11.0,2018-04-11,2018-10-01,5
2018-10-01,HI596179,1,4.0,3.0,3.0,4.0,5.0,11.0,2018-04-06,2018-10-01,5
2018-10-01,HI599889,8,6.0,8.0,6.0,8.0,6.0,10.0,2018-04-13,2018-10-01,5
2018-10-01,HI606358,6,5.0,1.0,3.0,4.0,8.0,11.0,2018-04-14,2018-10-01,5
2018-10-01,IK042838,10,8.0,7.0,6.0,7.0,9.0,10.0,2018-04-04,2018-10-01,5
2018-10-01,IK057216,4,3.0,4.0,4.0,6.0,9.0,11.0,2018-04-11,2018-10-01,5
2018-10-01,IK059828,3,5.0,4.0,4.0,6.0,5.0,9.0,2018-04-01,2018-10-01,6
2018-10-01,IK082424,4,5.0,7.0,7.0,7.0,9.0,8.0,2018-04-14,2018-10-01,5
2018-10-01,IK190403,2,5.0,3.0,4.0,8.0,8.0,6.0,2018-04-07,2018-10-01,5
2018-10-01,IK403801,3,6.0,2.0,3.0,7.0,5.0,8.0,2018-04-05,2018-10-01,5
2018-10-01,IK407687,3,3.0,3.0,7.0,7.0,6.0,6.0,2018-04-03,2018-10-01,5
2018-10-01,IK429268,6,7.0,10.0,7.0,8.0,9.0,7.0,2018-04-06,2018-10-01,5
2018-10-01,IK430848,2,3.0,2.0,4.0,7.0,7.0,7.0,2018-04-14,2018-10-01,5
2018-10-01,IK491887,2,3.0,5.0,6.0,7.0,7.0,9.0,2018-04-08,2018-10-01,5
2018-10-01,IK528327,2,3.0,4.0,3.0,6.0,6.0,8.0,2018-04-01,2018-10-01,6
2018-10-01,IK584824,8,8.0,5.0,7.0,8.0,9.0,5.0,2018-04-08,2018-10-01,5
2018-10-01,IK642724,5,3.0,2.0,9.0,8.0,9.0,5.0,2018-04-15,2018-10-01,5
2018-10-01,IK654848,2,5.0,2.0,3.0,6.0,7.0,6.0,2018-04-04,2018-10-01,5
